ID,Tiêu đề,Trạng thái,Lượt xem,Lượt gửi,Lượt click,Ngày tạo
af1607422807c1599816,BA GÁC GIẢM 30% TOÀN BỘ MÓN ĂN,Thành công,2423,2500,152,15/05/2020 02:04 PM
517729130656ef08b647,📣 MÓN MỚI TOANH CHÀO THÁNG 5 RỰC RỠ,Thành công,2409,2480,189,04/05/2020 01:40 PM
1678f9e4d6a13fff66b0,ĐẠI TIỆC ĐỒNG GIÁ #99K THẢ GA CHỌN MÓN,Thành công,2434,2504,307,27/04/2020 09:28 AM
cfb4aa3785726c2c3563,📣 BA GÁC IS BACK - CHÚNG TÔI ĐÃ TRỞ LẠI,Thành công,2815,2914,362,23/04/2020 05:03 PM
1be68104ae41471f1e50,HÀNG MỚI ZỀ : CƠM ĐÙI GÀ - CƠM TÔM RIM,Thành công,20,21,2,30/03/2020 08:48 PM
1c77c398ecdd05835ccc,VẸM XANH HAY BA RỌI - Ở NHÀ VẪN ĂN NGON,Thành công,70,72,3,30/03/2020 10:40 AM
bea0e6b3c8f621a878e7,HOT HOT - CƠM VẸM XANH NEW ZEALAND SẢ ỚT,Thành công,109,113,8,27/03/2020 09:07 AM
aeee12f43cb1d5ef8ca0,CƠM TRƯA 29k - NO NÊ TRÁNH DỊCH TẠI GIA,Thành công,197,204,36,25/03/2020 08:44 AM
82893f8c11c9f897a1d8,📣TẠM ĐÓNG CỬA TẤT CẢ CHI NHÁNH - CHỈ PHỤC VỤ GIAO HÀNG TẠI NHÀ,Thành công,2482,2561,165,24/03/2020 07:20 PM
efdd8e8ea0cb499510da,GIẢM TOÀN BỘ 30% FOOD MENU + FREE SHIP,Thành công,2470,2549,178,11/03/2020 04:24 PM
9c3dac7c82396b673228,Happy womens day,Thành công,2447,2530,42,07/03/2020 10:11 PM
bebf35fd1bb8f2e6aba9,"MỪNG 8/3 - NHẬU THẢ GA, THA HỒ GIẢM GIÁ",Thành công,2445,2526,112,06/03/2020 06:04 PM
814379c65783bedde792,🎉 NHẬU NO NÊ VỚI BẮP BÒ NHÚNG ME CHỈ 99K🎉,Thành công,2397,2479,106,20/02/2020 03:38 PM
f06fe1a9cfec26b27ffd,𝐍𝐇𝐀̣̂𝐔 𝐕𝐎̛́𝐈 𝐆𝐈𝐀́ 𝐇𝐎̛̀𝐈 - 𝐊𝐇𝐎̂𝐍𝐆 Đ𝐈 𝐓𝐈𝐄̂́𝐂 𝐂𝐀̉ Đ𝐎̛̀𝐈!,Thành công,2421,2502,116,01/02/2020 10:08 AM
8cd1ba1194547d0a2445,𝐍𝐇𝐀̣̂𝐔 𝐕𝐎̛́𝐈 𝐆𝐈𝐀́ 𝐇𝐎̛̀𝐈 - 𝐊𝐇𝐎̂𝐍𝐆 Đ𝐈 𝐓𝐈𝐄̂́𝐂 𝐂𝐀̉ Đ𝐎̛̀𝐈!,Thành công,237,240,5,31/01/2020 12:24 PM
cc8967474902a05cf913,𝗦𝗢̂́𝗖!! 𝗚𝗜𝗔̉𝗠 𝟮𝟮% 𝗠𝗨̛̀𝗡𝗚 𝗚𝗥𝗔𝗡𝗗 𝗢𝗣𝗘𝗡𝗜𝗡𝗚 𝗕𝗔 𝗚𝗔́𝗖 𝟳,Thành công,2432,2514,129,26/01/2020 01:22 PM
f9ddd116ff53160d4f42,"MỪNG XUÂN CANH TÝ, VẠN ĐIỀU NHƯ Ý",Thành công,2648,2745,57,23/01/2020 10:40 PM
351036071b42f21cab53,⚽️⚽️ COI ĐÁ BANH – UỐNG BIA THẢ PHANH ⚽️⚽️,Thành công,2364,2442,87,09/01/2020 06:17 PM
a3eb74e859adb0f3e9bc,NĂM MỚI TỚI - MÓN MỚI PHẢI THỬ NGAY!!,Thành công,0,2411,77,03/01/2020 11:48 AM
81d608e325a6ccf895b7,"ĐÓN TẾT TÂY, NGẤT NGÂY ACOUSTIC",Thành công,0,120,4,31/12/2019 08:48 AM
96413c751130f86ea121,"ĐÓN TẾT TÂY, NGẤT NGÂY ACOUSTIC",Thành công,0,154,12,30/12/2019 06:29 PM
ab34eb62c6272f797636,💥 Khuyến mại đặc biệt mừng Soft opening BA GÁC 61 Nam Kỳ Khởi Nghĩa,Thành công,0,157,17,20/12/2019 11:25 AM
fb04ca41e7040e5a5715,1 NHẬU 1 CHAY - THỬ NGAY KẺO LỠ,Thành công,0,2322,126,16/12/2019 06:12 PM
6611f35dde1837466e09,BA GÁC - NHẬU CHỖ QUEN - ALO SỐ MỚI,Thành công,0,2304,49,13/12/2019 04:35 PM
fe8aefc5c2802bde7291,VĂN HẬU SIÊU NGẦU - TẶNG NGAY MÓN HÀU,Thành công,0,2309,87,13/12/2019 03:26 PM
1f8e80f3adb644e81da7,TIỆC TẤT NIÊN - DÀNH RIÊNG CHO BẠN,Thành công,0,2334,171,09/12/2019 03:17 PM
d4d4415b6c1e8540dc0f,📣📣THÔNG BÁO TỚI ANH EM TIN CỰC KỲ HOT,Không gửi được,0,0,0,25/11/2019 12:07 PM
e659d1d7fc9215cc4c83,📣📣THÔNG BÁO TỚI ANH EM TIN CỰC KỲ HOT,Thành công,0,72,13,25/11/2019 10:58 AM
ef5249f464b18defd4a0,"XEM ĐÁ BANH, ĂN LẨU THÁI CHỈ 199K",Thành công,0,65,6,18/11/2019 06:16 PM
64db3e771332fa6ca323,LẨU THÁI ĐIII!!,Thành công,0,141,12,17/11/2019 08:45 AM
fa08e5dcc89921c77888,"GIỜ VÀNG TỚI RỒI, UỐNG BIA MIỄN PHÍ THÔIIIII!",Thành công,0,2258,137,14/11/2019 06:01 PM
61a4797b543ebd60e42f,CÙNG BA GÁC CỔ VŨ VIỆT NAM LÀM NÊN KỲ TÍCH TRONG ĐẠI CHIẾN UAE,Thành công,0,2256,67,12/11/2019 05:46 PM
93c462014f44a61aff55,QUỐC TẾ ĐỘC THÂN Ư??? ==> CHỈ LÀ CÁI CỚ ĐỂ TA ĐI NHẬU THÔIIIII😁,Thành công,0,2261,99,11/11/2019 12:01 PM
b429bce191a478fa21b5,5 NGÀY ƯU ĐÃI SỐC DÀNH RIÊNG BẠN - GIẢM GIÁ TỚI 20%,Thành công,0,2252,325,07/11/2019 05:44 PM
b8bd708e5ccbb595ecda,NGÀY CỦA NÀNG - GIẢM GIÁ LÊN ĐẾN 20% CHO NÀNG!!!!,Thành công,0,179,7,19/10/2019 06:47 PM
26158326af63463d1f72,NGÀY CỦA NÀNG - GIẢM GIÁ LÊN ĐẾN 20% CHO NÀNG!!!!,Thành công,0,2,0,19/10/2019 05:54 PM
e41211203d65d43b8d74,NGÀY CỦA NÀNG - GIẢM GIÁ LÊN ĐẾN 20% CHO NÀNG!!!!,Thành công,0,1,0,19/10/2019 02:10 PM
07555a69762c9f72c63d,NGÀY CỦA NÀNG - GIẢM GIÁ LÊN ĐẾN 20% CHO NÀNG!!!!,Thành công,0,163,15,19/10/2019 09:05 AM
322ac010ec55050b5c44,WELCOME COMPANY - ƯU ĐÃI MÊ LY - KHÔNG DÙNG QUÁ PHÍ,Thành công,0,2219,135,17/10/2019 04:06 PM
b603282d0468ed36b479,BẬN GÌ THÌ BẬN ĐỪNG QUÊN ĐẶT BÀN BA GÁC - NHẬU THẬT NGON - COI BANH THẬT ĐÃ,Thành công,0,2228,46,14/10/2019 05:38 PM
b250f316df53360d6f42,BẠN ĐÃ SẴN SÀNG ĐẠI CHIẾN MENU MỚI CỦA BA GÁC CHƯA??,Thành công,0,2219,164,08/10/2019 04:43 PM
0fc6f78ddbc832966bd9,"7/10 BA GÁC RA MENU MỚI ""LÓT ĐẦY BAO TỬ"" BẠN SẴN SÀNG CHƯA??",Thành công,0,2225,172,05/10/2019 01:16 PM
cff68241ae04475a1e15,LÀM TẠI NHỮNG CÔNG TY NÀY MÀ KHÔNG ĐẾN BA GÁC NHẬU THÌ QUÁ PHÍ,Thành công,0,2205,334,18/09/2019 11:18 AM
7959d8fef4bb1de544aa,DUY NHẤT ĐÊM RẰM - NHẬN BÁNH FREE - 500K NHÉT VÍ,Thành công,0,2174,187,13/09/2019 04:42 PM
0f3ab8e394a67df824b7,MỪNG SINH NHẬT CHI NHÁNH LÊ VĂN SỸ - BA GÁC KHAO BIA TOÀN BÀN,Thành công,0,2104,356,07/09/2019 12:04 PM
7c155dcf718a98d4c19b,NHẬU SAY THÁNG 9 CHỈ TỪ 69K,Thành công,0,20,1,06/09/2019 05:36 PM
8029bbf397b67ee827a7,NHẬU SAY THÁNG 9 CHỈ TỪ 69K,Thành công,0,2117,219,06/09/2019 05:16 PM
16d5a83484716d2f3460,NHẬU XONG RỒI CHAY - GIẢM NGAY 20% TỔNG BILL,Thành công,0,21,0,27/08/2019 08:05 PM
1aeea20f8e4a67143e5b,NHẬU XONG RỒI CHAY - GIẢM NGAY 20% TỔNG BILL,Thành công,0,2250,176,27/08/2019 08:07 PM
4f2611cc3d89d4d78d98,🎊🎊TỔ CHỨC SỰ KIỆN TẠI BA GÁC - TẠI SAO KHÔNG?🎊,Thành công,0,2085,211,25/08/2019 09:31 AM
62a573af40eaa9b4f0fb,💥BẠN BAO NHIÊU TUỔI - BA GÁC TẶNG BẤY NHIÊU LY BIA 💥,Thành công,0,1765,291,17/08/2019 10:10 AM
8c1c3769042ced72b43d,CUỘC VUI RỘN RÀNG - BIA TƯƠI SẴN SÀNG,Thành công,0,1381,161,01/08/2019 11:54 AM
c9aba17f923a7b64222b,🍻🎉NHẬU THẢ GA - KHÔNG LO VỀ GIÁ 💸💵,Thành công,0,1067,243,09/07/2019 09:54 AM
89836c6f5f2ab674ef3b,GRAND OPENING BA GÁC TRƯỜNG SƠN,Thành công,0,657,92,25/06/2019 11:44 AM
